ts_utc,funding_rate
2024-11-29 00:00:00+00:00,0.0001
2024-11-29 08:00:00+00:00,0.0001
2024-11-29 16:00:00+00:00,0.0001
2024-11-30 00:00:00+00:00,0.0001
2024-11-30 08:00:00+00:00,0.0001
2024-11-30 16:00:00+00:00,0.0001
2024-12-01 00:00:00+00:00,0.0001
2024-12-01 08:00:00+00:00,0.0001
2024-12-01 16:00:00+00:00,0.00032068
2024-12-02 00:00:00.001000+00:00,0.0001
2024-12-02 08:00:00.001000+00:00,0.00042369
2024-12-02 16:00:00+00:00,0.00030024
2024-12-03 00:00:00+00:00,0.0004335
2024-12-03 08:00:00+00:00,0.00051035
2024-12-03 16:00:00+00:00,0.00030379
2024-12-04 00:00:00+00:00,0.0003831
2024-12-04 08:00:00+00:00,0.0003874
2024-12-04 16:00:00+00:00,0.00059058
2024-12-05 00:00:00.001000+00:00,0.00040976
2024-12-05 08:00:00+00:00,0.00061242
2024-12-05 16:00:00+00:00,0.00035533
2024-12-06 00:00:00+00:00,0.00048052
2024-12-06 08:00:00+00:00,0.00058151
2024-12-06 16:00:00+00:00,0.00024374
2024-12-07 00:00:00+00:00,0.00041718
2024-12-07 08:00:00+00:00,0.000386
2024-12-07 16:00:00+00:00,0.00044577
2024-12-08 00:00:00+00:00,0.00045958
2024-12-08 08:00:00+00:00,0.00034963
2024-12-08 16:00:00+00:00,0.00055086
2024-12-09 00:00:00+00:00,0.00059606
2024-12-09 08:00:00+00:00,0.0001414
2024-12-09 16:00:00.001000+00:00,0.0001
2024-12-10 00:00:00.007000+00:00,0.0001
2024-12-10 08:00:00+00:00,0.0001
2024-12-10 16:00:00+00:00,0.0001
2024-12-11 00:00:00+00:00,0.0001
2024-12-11 08:00:00+00:00,0.0001
2024-12-11 16:00:00.001000+00:00,0.0001
2024-12-12 00:00:00.001000+00:00,6.839e-05
2024-12-12 08:00:00+00:00,0.0001
2024-12-12 16:00:00.001000+00:00,0.0001
2024-12-13 00:00:00+00:00,0.0001
2024-12-13 08:00:00+00:00,9.44e-05
2024-12-13 16:00:00.001000+00:00,8.484e-05
2024-12-14 00:00:00+00:00,0.0001
2024-12-14 08:00:00+00:00,0.0001
2024-12-14 16:00:00+00:00,0.0001
2024-12-15 00:00:00+00:00,0.0001
2024-12-15 08:00:00+00:00,-9.803e-05
2024-12-15 16:00:00+00:00,0.0001
2024-12-16 00:00:00+00:00,0.0001
2024-12-16 08:00:00.001000+00:00,0.0001
2024-12-16 16:00:00+00:00,6.058e-05
2024-12-17 00:00:00+00:00,0.0001
2024-12-17 08:00:00+00:00,2.762e-05
2024-12-17 16:00:00+00:00,9.636e-05
2024-12-18 00:00:00+00:00,-8.73e-06
2024-12-18 08:00:00+00:00,-5.224e-05
2024-12-18 16:00:00+00:00,1.551e-05
2024-12-19 00:00:00+00:00,-0.00032114
2024-12-19 08:00:00+00:00,0.0001
2024-12-19 16:00:00+00:00,0.0001
2024-12-20 00:00:00+00:00,-0.00013253
2024-12-20 08:00:00.001000+00:00,-6.13e-05
2024-12-20 16:00:00.014000+00:00,0.0001
2024-12-21 00:00:00+00:00,0.0001
2024-12-21 08:00:00+00:00,0.0001
2024-12-21 16:00:00.001000+00:00,-0.00020414
2024-12-22 00:00:00+00:00,-0.00022421
2024-12-22 08:00:00+00:00,6.172e-05
2024-12-22 16:00:00+00:00,0.0001
2024-12-23 00:00:00+00:00,-7.682e-05
2024-12-23 08:00:00+00:00,0.0001
2024-12-23 16:00:00.001000+00:00,0.0001
2024-12-24 00:00:00+00:00,0.0001
2024-12-24 08:00:00+00:00,0.0001
2024-12-24 16:00:00.001000+00:00,0.0001
2024-12-25 00:00:00.001000+00:00,0.0001
2024-12-25 08:00:00+00:00,0.0001
2024-12-25 16:00:00+00:00,0.0001
2024-12-26 00:00:00+00:00,0.0001
2024-12-26 08:00:00+00:00,9.77e-06
2024-12-26 16:00:00+00:00,8.943e-05
2024-12-27 00:00:00+00:00,0.0001
2024-12-27 08:00:00+00:00,0.0001
2024-12-27 16:00:00+00:00,0.0001
2024-12-28 00:00:00.001000+00:00,0.0001
2024-12-28 08:00:00+00:00,-1.468e-05
2024-12-28 16:00:00+00:00,-6.236e-05
2024-12-29 00:00:00+00:00,4.378e-05
2024-12-29 08:00:00+00:00,0.0001
2024-12-29 16:00:00+00:00,0.0001
2024-12-30 00:00:00+00:00,3.856e-05
2024-12-30 08:00:00.001000+00:00,1.534e-05
2024-12-30 16:00:00+00:00,-0.00019995
2024-12-31 00:00:00+00:00,9.325e-05
2024-12-31 08:00:00+00:00,0.0001
2024-12-31 16:00:00+00:00,0.0001
2025-01-01 00:00:00.015000+00:00,0.0001
2025-01-01 08:00:00+00:00,0.0001
2025-01-01 16:00:00.001000+00:00,0.0001
2025-01-02 00:00:00+00:00,0.0001
2025-01-02 08:00:00.006000+00:00,0.0001
2025-01-02 16:00:00+00:00,0.0001
2025-01-03 00:00:00+00:00,0.0001
2025-01-03 08:00:00+00:00,0.0001
2025-01-03 16:00:00+00:00,0.0001
2025-01-04 00:00:00+00:00,0.0001
2025-01-04 08:00:00+00:00,0.0001
2025-01-04 16:00:00+00:00,0.0001
2025-01-05 00:00:00+00:00,0.0001
2025-01-05 08:00:00+00:00,0.0001
2025-01-05 16:00:00+00:00,9.729e-05
2025-01-06 00:00:00+00:00,4.449e-05
2025-01-06 08:00:00.001000+00:00,0.0001
2025-01-06 16:00:00+00:00,0.0001
2025-01-07 00:00:00+00:00,0.0001
2025-01-07 08:00:00+00:00,0.0001
2025-01-07 16:00:00.008000+00:00,0.0001
2025-01-08 00:00:00.001000+00:00,-0.00018767
2025-01-08 08:00:00+00:00,-0.00021475
2025-01-08 16:00:00+00:00,5.961e-05
2025-01-09 00:00:00+00:00,0.0001
2025-01-09 08:00:00+00:00,-2.63e-05
2025-01-09 16:00:00+00:00,-2.716e-05
2025-01-10 00:00:00+00:00,-8.186e-05
2025-01-10 08:00:00+00:00,0.0001
2025-01-10 16:00:00+00:00,-7.109e-05
2025-01-11 00:00:00+00:00,0.0001
2025-01-11 08:00:00+00:00,7.836e-05
2025-01-11 16:00:00+00:00,0.0001
2025-01-12 00:00:00+00:00,-9.303e-05
2025-01-12 08:00:00+00:00,-0.0002482
2025-01-12 16:00:00+00:00,-1.29e-05
2025-01-13 00:00:00+00:00,-0.00026511
2025-01-13 08:00:00+00:00,-0.00016174
2025-01-13 16:00:00+00:00,-0.00017338
2025-01-14 00:00:00+00:00,0.0001
2025-01-14 08:00:00+00:00,2.497e-05
2025-01-14 16:00:00+00:00,-1.036e-05
2025-01-15 00:00:00+00:00,-0.00010263
2025-01-15 08:00:00+00:00,0.0001
2025-01-15 16:00:00+00:00,0.0001
2025-01-16 00:00:00+00:00,0.0001
2025-01-16 08:00:00+00:00,0.0001
2025-01-16 16:00:00+00:00,0.0001
2025-01-17 00:00:00.004000+00:00,6.298e-05
2025-01-17 08:00:00+00:00,0.0001
2025-01-17 16:00:00.008000+00:00,0.0001
2025-01-18 00:00:00+00:00,0.0001
2025-01-18 08:00:00.007000+00:00,4.418e-05
