time,engine,ticker,side,amount,price,size,fee,pnl,reason
2026-07-23 17:49:40,횡보,KRW-ETH,sell,502473.7156814829,2806000.0,0.179071174512289,501.23685784074144,2222.478823642188,시간만료
2026-07-23 18:04:50,횡보,KRW-ADA,sell,505544.420987704,254.0,1990.332366093323,502.772210493852,5291.648777210154,시간만료
2026-07-23 18:20:00,횡보,KRW-BTC,sell,502427.6633759822,95802000.0,0.00524443814717837,501.2138316879911,2176.4495442942134,시간만료
2026-07-23 22:17:38,횡보,KRW-ADA,buy,500000.0,251.45329164066112,1987.4466416377911,250.0,,
2026-07-23 23:33:28,횡보,KRW-ADA,sell,498849.10705108556,251.0,1987.4466416377911,499.4245535255428,-1400.3175024399534,시간만료
2026-07-24 09:04:46,횡보,KRW-AVAX,buy,500000.0,9164.215089899975,54.53276631959264,250.0,,
2026-07-24 09:19:56,횡보,KRW-SOL,buy,500000.0,110714.08053648799,4.513879332948058,250.0,,
2026-07-24 10:15:34,횡보,KRW-AVAX,sell,498429.4841610767,9140.0,54.53276631959264,499.2147420805384,-1819.7305810038233,시간만료
2026-07-24 10:30:44,횡보,KRW-SOL,sell,500137.8300906448,110800.0,4.513879332948058,500.06891504532246,-112.23882440046873,시간만료
2026-07-24 12:01:44,횡보,KRW-DOGE,buy,500000.0,100.27395553616606,4983.846476663164,250.0,,
2026-07-24 13:17:34,횡보,KRW-DOGE,sell,503368.49414297956,101.0,4983.846476663164,501.6842470714898,3116.8098959080526,시간만료
2026-07-24 13:47:54,횡보,KRW-DOGE,buy,500000.0,100.21752705989245,4986.652681035895,250.0,,
2026-07-24 15:03:45,횡보,KRW-DOGE,sell,503651.92078462534,101.0,4986.652681035895,501.8259603923127,3400.094824233034,시간만료
